Event Clearance Description,Event Clearance Date,Hundred Block Location,Longitude,Latitude,Incident Location
PROSTITUTION,03/13/2015 04:26:00 PM,9XX BLOCK OF N 90 ST,-122.345905055,47.694189603,"(47.694189603, -122.345905055)"
SUSPICIOUS PERSON,03/12/2015 09:42:00 PM,3XX BLOCK OF 14 AV S,-122.314133914,47.599610496,"(47.599610496, -122.314133914)"
SUSPICIOUS PERSON,03/11/2015 09:59:00 PM,AURORA AV N / N 93 ST,-122.344594351,47.6963581,"(47.6963581, -122.344594351)"
SUSPICIOUS VEHICLE,03/10/2015 01:35:00 AM,N 95 ST / EVANSTON AV N,-122.351257604,47.697827018,"(47.697827018, -122.351257604)"
PROSTITUTION,03/09/2015 03:31:00 PM,100XX BLOCK OF AURORA AV N,-122.344655381,47.701792106,"(47.701792106, -122.344655381)"
SUSPICIOUS PERSON,03/09/2015 10:47:00 AM,AURORA AV N / N 97 ST,-122.344632324,47.699617846,"(47.699617846, -122.344632324)"
"VICE, OTHER",03/07/2015 07:21:00 PM,N 125 ST / AURORA AV N,-122.344940802,47.719570094,"(47.719570094, -122.344940802)"
PROSTITUTION,03/06/2015 07:22:00 PM,GREEN LAKE DR N / N 81 ST,-122.341811319,47.687656185,"(47.687656185, -122.341811319)"
PROSTITUTION,03/05/2015 04:27:00 PM,130XX BLOCK OF AURORA AV N,-122.344996832,47.725035551,"(47.725035551, -122.344996832)"
PROSTITUTION,03/04/2015 11:33:00 PM,N 125 ST / AURORA AV N,-122.344940802,47.719570094,"(47.719570094, -122.344940802)"
PROSTITUTION,03/04/2015 09:33:00 PM,N 125 ST / AURORA AV N,-122.344940802,47.719570094,"(47.719570094, -122.344940802)"
PROSTITUTION,03/04/2015 08:54:00 PM,AURORA AV N / N 125 ST,-122.344940802,47.719570094,"(47.719570094, -122.344940802)"
PROSTITUTION,03/04/2015 08:38:00 PM,AURORA AV N / N 125 ST,-122.344940802,47.719570094,"(47.719570094, -122.344940802)"
SUSPICIOUS PERSON,03/04/2015 04:39:00 PM,20XX BLOCK OF RAINIER AV S,-122.303257157,47.585019717,"(47.585019717, -122.303257157)"
SUSPICIOUS PERSON,03/04/2015 01:10:00 PM,11XX BLOCK OF NW 45 ST,-122.372183555,47.66147103,"(47.66147103, -122.372183555)"
PROSTITUTION,03/02/2015 07:47:00 PM,N 145 ST / AURORA AV N,-122.345100532,47.734128029,"(47.734128029, -122.345100532)"
PROSTITUTION,03/02/2015 04:15:00 AM,9XX BLOCK OF N 86 ST,-122.345870543,47.69129126,"(47.69129126, -122.345870543)"
PROSTITUTION,03/01/2015 07:28:00 PM,N 96 ST / AURORA AV N,-122.344616986,47.698532213,"(47.698532213, -122.344616986)"
"DISTURBANCE, OTHER",02/28/2015 09:12:00 PM,113XX BLOCK OF 9 AV NE,-122.31919805,47.711244204,"(47.711244204, -122.31919805)"
PROSTITUTION,02/28/2015 07:46:00 PM,120XX BLOCK OF AURORA AV N,-122.344896099,47.717174472,"(47.717174472, -122.344896099)"
PROSTITUTION,02/28/2015 06:52:00 PM,120XX BLOCK OF AURORA AV N,-122.344896099,47.717174472,"(47.717174472, -122.344896099)"
PROSTITUTION,02/28/2015 06:32:00 PM,120XX BLOCK OF AURORA AV N,-122.344896099,47.717174472,"(47.717174472, -122.344896099)"
PROSTITUTION,02/28/2015 04:22:00 PM,120XX BLOCK OF AURORA AV N,-122.344896099,47.717174472,"(47.717174472, -122.344896099)"
PROSTITUTION,02/27/2015 07:21:00 PM,120XX BLOCK OF AURORA AV N,-122.344896099,47.717174472,"(47.717174472, -122.344896099)"
PROSTITUTION,02/26/2015 07:29:00 PM,92XX BLOCK OF EVANSTON AV N,-122.3512561,47.696921755,"(47.696921755, -122.3512561)"
PROSTITUTION,02/26/2015 01:19:00 PM,N 97 ST / AURORA AV N,-122.344632324,47.699617846,"(47.699617846, -122.344632324)"
PROSTITUTION,02/26/2015 12:26:00 AM,97XX BLOCK OF AURORA AV N,-122.34463493,47.700072021,"(47.700072021, -122.34463493)"
PROSTITUTION,02/25/2015 12:27:00 AM,120XX BLOCK OF AURORA AV N,-122.344896099,47.717174472,"(47.717174472, -122.344896099)"
PROSTITUTION,02/24/2015 10:56:00 PM,120XX BLOCK OF AURORA AV N,-122.344896099,47.717174472,"(47.717174472, -122.344896099)"
SUSPICIOUS PERSON,02/24/2015 09:53:00 PM,N 88 ST / AURORA AV N,-122.344549919,47.692736493,"(47.692736493, -122.344549919)"
PROSTITUTION,02/24/2015 08:37:00 PM,N 93 ST / AURORA AV N,-122.344594351,47.6963581,"(47.6963581, -122.344594351)"
PROSTITUTION,02/24/2015 05:42:00 PM,N 91 ST / LINDEN AV N,-122.3472695,47.694915944,"(47.694915944, -122.3472695)"
"NARCOTICS, DRUG TRAFFIC LOITERING",02/24/2015 11:37:00 AM,RAINIER AV S / S GARDEN ST,-122.270434957,47.537641601,"(47.537641601, -122.270434957)"
"MISCHIEF, NUISANCE COMPLAINTS",02/22/2015 11:25:00 PM,4 AV S / S MAIN ST,-122.328966332,47.600034727,"(47.600034727, -122.328966332)"
PROSTITUTION,02/22/2015 06:06:00 PM,116XX BLOCK OF AURORA AV N,-122.344834271,47.713547978,"(47.713547978, -122.344834271)"
SUSPICIOUS PERSON,02/22/2015 04:31:00 AM,9XX BLOCK OF N 85 ST,-122.345864519,47.690566694,"(47.690566694, -122.345864519)"
PROSTITUTION,02/21/2015 07:31:00 PM,120XX BLOCK OF AURORA AV N,-122.344896099,47.717174472,"(47.717174472, -122.344896099)"
